0.12	0.075930496	0.050032318
0.6	0.009558549	0.006812125
1.09	0.002641218	0.003393778
1.54	0.018493309	0.002819858
1.94	0.108627034	0.008733458
2.39	0.166889161	0.012498154
2.84	0.323585983	0.022373731
3.29	0.912298404	0.040381314
3.74	1.108598277	0.051578865
4.19	0.982378815	0.08049466
4.73	0.646690487	0.046421645
5.09	1.06255541	0.054517293
5.54	1.027279187	0.035936035
5.99	0.980759297	0.062583017
6.44	1.14126142	0.040582951
6.9	1.126839319	0.039105661
7.33	1.079064524	0.040671301
7.79	1.028561089	0.044467838
8.24	1.048733167	0.038969806
8.69	1.180737679	0.045389317
9.14	0.983533618	0.049232018
9.59	0.907950335	0.053753945
10.04	1.028335413	0.064677482
10.49	0.899442955	0.059913513
